,Record.No.,Herbarium,Accession.No,Collector,Colln.No.,Mo,Day,Year,State,County,Locality,Description,Latitude,Longitude,Elevation,Mean.Temp,Mean.Precip,Apex.Shape,Sinus.Shape,Lf.Length1,Lf.Width1,Lf.Length2,Lf.Width2,Lf.Length.Av,Lf.Width.Av,WL.Ratio,Lf.Area.Prox
434,462L,BRIT,,"Carter, Richard",12965,7,1,1996,GA,Camden County,"Kings Bay Submarine Base; Etowah Park, ca. 100 m SW dock and boat ramp, dry maritime forest along Mariana Creek",,30.821701,-81.544467,5.9,19.9,1290,2,3,96.01,103.53,83.69,102.81,89.85,103.17,1.148247078,6179.88
435,463L,BRIT,,"Reade, J.M.",E 3365,5,6,1910,GA,Clarke County,"Pope and Dearing Sts, Athens",,33.954776,-83.383857,224.6,16.2,1255,4,3,86.57,87.58,60.19,70.97,73.38,79.28,1.08040338,3878.13
436,464L,BRIT,,"Demaree, Delzie",58496,7,12,1968,AR,Washington County,Bottoms of White River; P.O. West Fork,,35.926747,-94.184916,399.9,14,1174,4,3,105.56,103.7,100.48,98.41,103.02,101.06,0.980974568,6940.46
437,465L,BRIT,,"Demaree, Delzie",56402,6,19,1967,AR,Washington County,White River bottoms; P.O. West Fork,duplicate,NA,NA,NA,NA,NA,4,3,94.56,104.74,83.91,82.98,89.24,93.86,1.051770506,5583.73
438,466L,BRIT,,"D'Arcy, W.G.",2003,5,15,1966,FL,Alachua County,"NW 11th Ave, near 13th st, Gainesville",duplicate,29.663298,-82.356047,28.1,20.4,1334,4,3,98.33,98.44,94.32,91.61,96.33,95.03,0.986504723,6102.19
439,467L,BRIT,,"Godfrey, Robert K.",81899,8,18,1985,FL,Leon County,"at intersection of Old St. Augustine Road and Blairstone Road, Tallahassee",,30.42843,-84.249544,62.3,19.5,1491,4,4,63.18,61.85,48.54,59,55.86,60.43,1.081811672,2250.23
440,468L,BRIT,,"Deramus, Rebecca",347,4,23,1963,AL,Tuscaloosa County,"East end of 13th St., near Alberta City area, Tuscaloosa",,33.200985,-87.517255,78.4,17,1421,4,3,67,68.44,66.64,63.73,66.82,66.09,0.989075127,2943.87
441,469L,BRIT,,"Demaree, Delzie",64801,5,7,1972,AR,Faulkner County,low ridges below Toad Suck Bridge; P.O conway,,35.071337,-92.542317,73,16.2,1251,4,3,76.12,69.38,82.91,74.04,79.52,71.71,0.901785714,3801.35
442,470L,BRIT,,"Demaree, Delzie",65112,6,10,1972,AR,Jefferson County,P.O. Humphrey Elev 190,,34.422533,-91.706479,57,16.9,1261,4,2,75.76,70.16,67.95,65.64,71.86,67.9,0.944892847,3252.64
443,471L,BRIT,,"Demaree, Delzie",47931,6,5,1963,AR,Marion County,Crooked Creek bottoms; P.O. Pyatt,duplicate,36.247771,-92.844861,224.8,14.4,1127,4,3,97.79,97.04,80.58,85.37,89.19,91.21,1.022648279,5422.75
444,472L,BRIT,,"Demaree, Delzie",47805,5,25,1963,OK,Cherokee County,Snake Creek; P.O. Hulbert,,35.9326,-95.14129,190.8,15.5,1111,4,3,82.2,86.4,78.78,85.3,80.49,85.85,1.066592123,4606.71
445,473L,BRIT,,"Taylor, John",9076,9,12,1971,OK,Murray County,1 1/2 mi. S. of Sulphur S of Park boundary. Arbuckle Mts. ,,34.492965,-96.096718,201.2,16.3,1072,4,3,81.11,82.48,75.16,82.36,78.14,82.42,1.054773483,4293.26
446,1_O,BUT,38176,"Friesner, R.C.",10907,6,25,1937,IN,Wells County,"First woods south of bog along Road 3, 3 miles north of Wells-Blackford County Line",,40.610629,-85.371908,256,9.8,942,5,3,,,,,,,,
447,2_O,BUT,5880,"Friesner, R.C.",1139,8,20,1923,IN,Floyd County,Edwardsville,Upland forest.,38.28414,-85.909402,277.1,12.7,1153,5,3,,,,,,,,
448,3_O,BUT,33526,"Cain, Stanley A.",189,9,4,1931,IN,Lawrence County,Spring Mill State Park,"Common along roads, fields, and also in woods.",38.72997,-86.411089,200.7,11.9,1139,2,3,,,,,,,,
449,4_O,BUT,10131,"Friesner, R.C.",4299,7,2,1932,IN,Boone County,1/4 mile east Zionsville,Bank of small stream,39.950389,-86.272067,270.3,10.7,1018,5,2,,,,,,,,
450,5_O,BUT,11893,"Friesner, R.C.",4434,7,16,1932,IN,Franklin County,"along Road 52, 7 miles southeast Androsonville (sic?)",Beech-maple woods,39.450372,-85.180516,214.3,11,1052,4,3,,,,,,,,
451,6_O,BUT,10219,"Friesner, R.C.",4089,5,22,1932,IN,Warren County,4 miles north Covington,Wooded bank,40.204902,-87.390896,151,10.6,988,4,3,,,,,,,,
452,7_O,BUT,47856,"Friesner, R.C.",13455,6,10,1939,IN,Kosciusko County,"Gravelly border of Loon Lake bog, 3.6 miles west of Jct. Rds. 14 and 15",,41.074747,-85.960364,264.7,9.4,992,4,4,,,,,,,,
453,8_O,BUT,67600,"Friesner, R.C.",17603,6,5,1943,IN,Tipton County,Woods 1 mi. north of Hobbs,,40.298359,-85.947453,265,10,991,4,2,,,,,,,,
454,9_O,BUT,8766,"Friesner, R.C.",3110,7,10,1931,IN,Owen County,3 mi. w. Elletsville,Edge of dense stand of Pinus virginicus,39.235269,-86.685741,238.6,11.4,1108,4,4,,,,,,,,
455,10_O,BUT,9408,"Friesner, R.C.",5178,9,9,1932,IN,Dubois County,1 mile west St. Anthony,Woods,38.314495,-86.842934,143,12.6,1159,4,4,,,,,,,,
